Yield,Date,Ticker,Yield_Change,Yield_Change_Lag1,Yield_Change_Lag2,Yield_Change_Lag3
0.93,2020-12-01,GS10,0.06000000000000005,0.07999999999999996,0.10999999999999999,0.030000000000000027
1.08,2021-01-01,GS10,0.15000000000000002,0.06000000000000005,0.07999999999999996,0.10999999999999999
1.26,2021-02-01,GS10,0.17999999999999994,0.15000000000000002,0.06000000000000005,0.07999999999999996
1.61,2021-03-01,GS10,0.3500000000000001,0.17999999999999994,0.15000000000000002,0.06000000000000005
1.64,2021-04-01,GS10,0.029999999999999805,0.3500000000000001,0.17999999999999994,0.15000000000000002
1.62,2021-05-01,GS10,-0.019999999999999796,0.029999999999999805,0.3500000000000001,0.17999999999999994
1.52,2021-06-01,GS10,-0.10000000000000009,-0.019999999999999796,0.029999999999999805,0.3500000000000001
1.32,2021-07-01,GS10,-0.19999999999999996,-0.10000000000000009,-0.019999999999999796,0.029999999999999805
1.28,2021-08-01,GS10,-0.040000000000000036,-0.19999999999999996,-0.10000000000000009,-0.019999999999999796
1.37,2021-09-01,GS10,0.09000000000000008,-0.040000000000000036,-0.19999999999999996,-0.10000000000000009
1.58,2021-10-01,GS10,0.20999999999999996,0.09000000000000008,-0.040000000000000036,-0.19999999999999996
1.56,2021-11-01,GS10,-0.020000000000000018,0.20999999999999996,0.09000000000000008,-0.040000000000000036
1.47,2021-12-01,GS10,-0.09000000000000008,-0.020000000000000018,0.20999999999999996,0.09000000000000008
1.76,2022-01-01,GS10,0.29000000000000004,-0.09000000000000008,-0.020000000000000018,0.20999999999999996
1.93,2022-02-01,GS10,0.16999999999999993,0.29000000000000004,-0.09000000000000008,-0.020000000000000018
2.13,2022-03-01,GS10,0.19999999999999996,0.16999999999999993,0.29000000000000004,-0.09000000000000008
2.75,2022-04-01,GS10,0.6200000000000001,0.19999999999999996,0.16999999999999993,0.29000000000000004
2.9,2022-05-01,GS10,0.1499999999999999,0.6200000000000001,0.19999999999999996,0.16999999999999993
3.14,2022-06-01,GS10,0.2400000000000002,0.1499999999999999,0.6200000000000001,0.19999999999999996
2.9,2022-07-01,GS10,-0.2400000000000002,0.2400000000000002,0.1499999999999999,0.6200000000000001
2.9,2022-08-01,GS10,0.0,-0.2400000000000002,0.2400000000000002,0.1499999999999999
3.52,2022-09-01,GS10,0.6200000000000001,0.0,-0.2400000000000002,0.2400000000000002
3.98,2022-10-01,GS10,0.45999999999999996,0.6200000000000001,0.0,-0.2400000000000002
3.89,2022-11-01,GS10,-0.08999999999999986,0.45999999999999996,0.6200000000000001,0.0
3.62,2022-12-01,GS10,-0.27,-0.08999999999999986,0.45999999999999996,0.6200000000000001
3.53,2023-01-01,GS10,-0.0900000000000003,-0.27,-0.08999999999999986,0.45999999999999996
3.75,2023-02-01,GS10,0.2200000000000002,-0.0900000000000003,-0.27,-0.08999999999999986
3.66,2023-03-01,GS10,-0.08999999999999986,0.2200000000000002,-0.0900000000000003,-0.27
3.46,2023-04-01,GS10,-0.20000000000000018,-0.08999999999999986,0.2200000000000002,-0.0900000000000003
3.57,2023-05-01,GS10,0.10999999999999988,-0.20000000000000018,-0.08999999999999986,0.2200000000000002
3.75,2023-06-01,GS10,0.18000000000000016,0.10999999999999988,-0.20000000000000018,-0.08999999999999986
3.9,2023-07-01,GS10,0.1499999999999999,0.18000000000000016,0.10999999999999988,-0.20000000000000018
4.17,2023-08-01,GS10,0.27,0.1499999999999999,0.18000000000000016,0.10999999999999988
4.38,2023-09-01,GS10,0.20999999999999996,0.27,0.1499999999999999,0.18000000000000016
4.8,2023-10-01,GS10,0.41999999999999993,0.20999999999999996,0.27,0.1499999999999999
4.5,2023-11-01,GS10,-0.2999999999999998,0.41999999999999993,0.20999999999999996,0.27
4.02,2023-12-01,GS10,-0.4800000000000004,-0.2999999999999998,0.41999999999999993,0.20999999999999996
4.06,2024-01-01,GS10,0.040000000000000036,-0.4800000000000004,-0.2999999999999998,0.41999999999999993
4.21,2024-02-01,GS10,0.15000000000000036,0.040000000000000036,-0.4800000000000004,-0.2999999999999998
4.21,2024-03-01,GS10,0.0,0.15000000000000036,0.040000000000000036,-0.4800000000000004
4.54,2024-04-01,GS10,0.33000000000000007,0.0,0.15000000000000036,0.040000000000000036
4.48,2024-05-01,GS10,-0.05999999999999961,0.33000000000000007,0.0,0.15000000000000036
4.31,2024-06-01,GS10,-0.17000000000000082,-0.05999999999999961,0.33000000000000007,0.0
4.25,2024-07-01,GS10,-0.05999999999999961,-0.17000000000000082,-0.05999999999999961,0.33000000000000007
3.87,2024-08-01,GS10,-0.3799999999999999,-0.05999999999999961,-0.17000000000000082,-0.05999999999999961
3.72,2024-09-01,GS10,-0.1499999999999999,-0.3799999999999999,-0.05999999999999961,-0.17000000000000082
4.1,2024-10-01,GS10,0.37999999999999945,-0.1499999999999999,-0.3799999999999999,-0.05999999999999961
4.36,2024-11-01,GS10,0.2600000000000007,0.37999999999999945,-0.1499999999999999,-0.3799999999999999
4.39,2024-12-01,GS10,0.02999999999999936,0.2600000000000007,0.37999999999999945,-0.1499999999999999
4.63,2025-01-01,GS10,0.2400000000000002,0.02999999999999936,0.2600000000000007,0.37999999999999945
4.45,2025-02-01,GS10,-0.17999999999999972,0.2400000000000002,0.02999999999999936,0.2600000000000007
4.28,2025-03-01,GS10,-0.16999999999999993,-0.17999999999999972,0.2400000000000002,0.02999999999999936
4.28,2025-04-01,GS10,0.0,-0.16999999999999993,-0.17999999999999972,0.2400000000000002
4.42,2025-05-01,GS10,0.13999999999999968,0.0,-0.16999999999999993,-0.17999999999999972
4.38,2025-06-01,GS10,-0.040000000000000036,0.13999999999999968,0.0,-0.16999999999999993
4.39,2025-07-01,GS10,0.009999999999999787,-0.040000000000000036,0.13999999999999968,0.0
4.26,2025-08-01,GS10,-0.1299999999999999,0.009999999999999787,-0.040000000000000036,0.13999999999999968
2.51,2018-05-01,GS2,0.1299999999999999,0.10000000000000009,0.09999999999999964,0.15000000000000036
2.53,2018-06-01,GS2,0.020000000000000018,0.1299999999999999,0.10000000000000009,0.09999999999999964
2.61,2018-07-01,GS2,0.08000000000000007,0.020000000000000018,0.1299999999999999,0.10000000000000009
2.64,2018-08-01,GS2,0.03000000000000025,0.08000000000000007,0.020000000000000018,0.1299999999999999
2.77,2018-09-01,GS2,0.1299999999999999,0.03000000000000025,0.08000000000000007,0.020000000000000018
2.86,2018-10-01,GS2,0.08999999999999986,0.1299999999999999,0.03000000000000025,0.08000000000000007
2.86,2018-11-01,GS2,0.0,0.08999999999999986,0.1299999999999999,0.03000000000000025
2.68,2018-12-01,GS2,-0.17999999999999972,0.0,0.08999999999999986,0.1299999999999999
2.54,2019-01-01,GS2,-0.14000000000000012,-0.17999999999999972,0.0,0.08999999999999986
2.5,2019-02-01,GS2,-0.040000000000000036,-0.14000000000000012,-0.17999999999999972,0.0
2.41,2019-03-01,GS2,-0.08999999999999986,-0.040000000000000036,-0.14000000000000012,-0.17999999999999972
2.34,2019-04-01,GS2,-0.07000000000000028,-0.08999999999999986,-0.040000000000000036,-0.14000000000000012
2.21,2019-05-01,GS2,-0.1299999999999999,-0.07000000000000028,-0.08999999999999986,-0.040000000000000036
1.81,2019-06-01,GS2,-0.3999999999999999,-0.1299999999999999,-0.07000000000000028,-0.08999999999999986
1.84,2019-07-01,GS2,0.030000000000000027,-0.3999999999999999,-0.1299999999999999,-0.07000000000000028
1.57,2019-08-01,GS2,-0.27,0.030000000000000027,-0.3999999999999999,-0.1299999999999999
1.65,2019-09-01,GS2,0.07999999999999985,-0.27,0.030000000000000027,-0.3999999999999999
1.55,2019-10-01,GS2,-0.09999999999999987,0.07999999999999985,-0.27,0.030000000000000027
1.61,2019-11-01,GS2,0.06000000000000005,-0.09999999999999987,0.07999999999999985,-0.27
1.61,2019-12-01,GS2,0.0,0.06000000000000005,-0.09999999999999987,0.07999999999999985
1.52,2020-01-01,GS2,-0.09000000000000008,0.0,0.06000000000000005,-0.09999999999999987
1.33,2020-02-01,GS2,-0.18999999999999995,-0.09000000000000008,0.0,0.06000000000000005
0.45,2020-03-01,GS2,-0.8800000000000001,-0.18999999999999995,-0.09000000000000008,0.0
0.22,2020-04-01,GS2,-0.23,-0.8800000000000001,-0.18999999999999995,-0.09000000000000008
0.17,2020-05-01,GS2,-0.04999999999999999,-0.23,-0.8800000000000001,-0.18999999999999995
0.19,2020-06-01,GS2,0.01999999999999999,-0.04999999999999999,-0.23,-0.8800000000000001
0.15,2020-07-01,GS2,-0.04000000000000001,0.01999999999999999,-0.04999999999999999,-0.23
0.14,2020-08-01,GS2,-0.009999999999999981,-0.04000000000000001,0.01999999999999999,-0.04999999999999999
0.13,2020-09-01,GS2,-0.010000000000000009,-0.009999999999999981,-0.04000000000000001,0.01999999999999999
0.15,2020-10-01,GS2,0.01999999999999999,-0.010000000000000009,-0.009999999999999981,-0.04000000000000001
0.17,2020-11-01,GS2,0.020000000000000018,0.01999999999999999,-0.010000000000000009,-0.009999999999999981
0.14,2020-12-01,GS2,-0.03,0.020000000000000018,0.01999999999999999,-0.010000000000000009
0.13,2021-01-01,GS2,-0.010000000000000009,-0.03,0.020000000000000018,0.01999999999999999
0.12,2021-02-01,GS2,-0.010000000000000009,-0.010000000000000009,-0.03,0.020000000000000018
0.15,2021-03-01,GS2,0.03,-0.010000000000000009,-0.010000000000000009,-0.03
0.16,2021-04-01,GS2,0.010000000000000009,0.03,-0.010000000000000009,-0.010000000000000009
0.16,2021-05-01,GS2,0.0,0.010000000000000009,0.03,-0.010000000000000009
0.2,2021-06-01,GS2,0.04000000000000001,0.0,0.010000000000000009,0.03
0.22,2021-07-01,GS2,0.01999999999999999,0.04000000000000001,0.0,0.010000000000000009
0.22,2021-08-01,GS2,0.0,0.01999999999999999,0.04000000000000001,0.0
0.24,2021-09-01,GS2,0.01999999999999999,0.0,0.01999999999999999,0.04000000000000001
0.39,2021-10-01,GS2,0.15000000000000002,0.01999999999999999,0.0,0.01999999999999999
0.51,2021-11-01,GS2,0.12,0.15000000000000002,0.01999999999999999,0.0
0.68,2021-12-01,GS2,0.17000000000000004,0.12,0.15000000000000002,0.01999999999999999
0.98,2022-01-01,GS2,0.29999999999999993,0.17000000000000004,0.12,0.15000000000000002
1.44,2022-02-01,GS2,0.45999999999999996,0.29999999999999993,0.17000000000000004,0.12
1.91,2022-03-01,GS2,0.47,0.45999999999999996,0.29999999999999993,0.17000000000000004
2.54,2022-04-01,GS2,0.6300000000000001,0.47,0.45999999999999996,0.29999999999999993
2.62,2022-05-01,GS2,0.08000000000000007,0.6300000000000001,0.47,0.45999999999999996
3.0,2022-06-01,GS2,0.3799999999999999,0.08000000000000007,0.6300000000000001,0.47
3.04,2022-07-01,GS2,0.040000000000000036,0.3799999999999999,0.08000000000000007,0.6300000000000001
3.25,2022-08-01,GS2,0.20999999999999996,0.040000000000000036,0.3799999999999999,0.08000000000000007
3.86,2022-09-01,GS2,0.6099999999999999,0.20999999999999996,0.040000000000000036,0.3799999999999999
4.38,2022-10-01,GS2,0.52,0.6099999999999999,0.20999999999999996,0.040000000000000036
4.5,2022-11-01,GS2,0.1200000000000001,0.52,0.6099999999999999,0.20999999999999996
4.29,2022-12-01,GS2,-0.20999999999999996,0.1200000000000001,0.52,0.6099999999999999
4.21,2023-01-01,GS2,-0.08000000000000007,-0.20999999999999996,0.1200000000000001,0.52
4.53,2023-02-01,GS2,0.3200000000000003,-0.08000000000000007,-0.20999999999999996,0.1200000000000001
4.3,2023-03-01,GS2,-0.23000000000000043,0.3200000000000003,-0.08000000000000007,-0.20999999999999996
4.02,2023-04-01,GS2,-0.28000000000000025,-0.23000000000000043,0.3200000000000003,-0.08000000000000007
4.13,2023-05-01,GS2,0.11000000000000032,-0.28000000000000025,-0.23000000000000043,0.3200000000000003
4.64,2023-06-01,GS2,0.5099999999999998,0.11000000000000032,-0.28000000000000025,-0.23000000000000043
4.83,2023-07-01,GS2,0.1900000000000004,0.5099999999999998,0.11000000000000032,-0.28000000000000025
4.9,2023-08-01,GS2,0.07000000000000028,0.1900000000000004,0.5099999999999998,0.11000000000000032
5.02,2023-09-01,GS2,0.11999999999999922,0.07000000000000028,0.1900000000000004,0.5099999999999998
5.07,2023-10-01,GS2,0.05000000000000071,0.11999999999999922,0.07000000000000028,0.1900000000000004
4.88,2023-11-01,GS2,-0.1900000000000004,0.05000000000000071,0.11999999999999922,0.07000000000000028
4.46,2023-12-01,GS2,-0.41999999999999993,-0.1900000000000004,0.05000000000000071,0.11999999999999922
4.32,2024-01-01,GS2,-0.13999999999999968,-0.41999999999999993,-0.1900000000000004,0.05000000000000071
4.54,2024-02-01,GS2,0.21999999999999975,-0.13999999999999968,-0.41999999999999993,-0.1900000000000004
4.59,2024-03-01,GS2,0.04999999999999982,0.21999999999999975,-0.13999999999999968,-0.41999999999999993
4.87,2024-04-01,GS2,0.28000000000000025,0.04999999999999982,0.21999999999999975,-0.13999999999999968
4.86,2024-05-01,GS2,-0.009999999999999787,0.28000000000000025,0.04999999999999982,0.21999999999999975
4.74,2024-06-01,GS2,-0.1200000000000001,-0.009999999999999787,0.28000000000000025,0.04999999999999982
4.5,2024-07-01,GS2,-0.2400000000000002,-0.1200000000000001,-0.009999999999999787,0.28000000000000025
3.97,2024-08-01,GS2,-0.5299999999999998,-0.2400000000000002,-0.1200000000000001,-0.009999999999999787
3.62,2024-09-01,GS2,-0.3500000000000001,-0.5299999999999998,-0.2400000000000002,-0.1200000000000001
3.97,2024-10-01,GS2,0.3500000000000001,-0.3500000000000001,-0.5299999999999998,-0.2400000000000002
4.26,2024-11-01,GS2,0.2899999999999996,0.3500000000000001,-0.3500000000000001,-0.5299999999999998
4.23,2024-12-01,GS2,-0.02999999999999936,0.2899999999999996,0.3500000000000001,-0.3500000000000001
4.27,2025-01-01,GS2,0.03999999999999915,-0.02999999999999936,0.2899999999999996,0.3500000000000001
4.21,2025-02-01,GS2,-0.05999999999999961,0.03999999999999915,-0.02999999999999936,0.2899999999999996
3.97,2025-03-01,GS2,-0.23999999999999977,-0.05999999999999961,0.03999999999999915,-0.02999999999999936
3.78,2025-04-01,GS2,-0.1900000000000004,-0.23999999999999977,-0.05999999999999961,0.03999999999999915
3.92,2025-05-01,GS2,0.14000000000000012,-0.1900000000000004,-0.23999999999999977,-0.05999999999999961
3.89,2025-06-01,GS2,-0.029999999999999805,0.14000000000000012,-0.1900000000000004,-0.23999999999999977
3.88,2025-07-01,GS2,-0.010000000000000231,-0.029999999999999805,0.14000000000000012,-0.1900000000000004
3.7,2025-08-01,GS2,-0.17999999999999972,-0.010000000000000231,-0.029999999999999805,0.14000000000000012
